Name,Summary,Average Runtime,End Date,Premiere Date,Genres,Type,Language,Network,Rating
Blue Mountain State,"Blue Mountain State follows the on and off-field antics of college football powerhouse, Blue Mountain State. Former NFL running back and veteran actor, Ed Marinaro (Hill Street Blues), stars as no-nonsense Coach Daniels. In season 3, Coach Daniels will have his authority challenged when the boosters force him to hire a hotshot offensive coordinator/head coach-in-waiting. Alex, played by Emmy Award(R)-winner Darin Brooks (Blue Crush), will have to step up from being a fun-loving second-string to the starting quarterback.",30,2010-11-01 00:00:00,30-11-2011,"['Comedy', 'Sports']",Scripted,English,Paramount Network,8
Black Dynamite,"Dynamite is a 1970s renaissance man with a kung-fu grip. A lover and a fighter who is not afraid to leap before he looks. His sidekick extraordinaire is Bullhorn, the brains and cunning that complements Black Dynamite's hard-hittin', bone-crushin' style. Providing comic relief on the mean streets is Cream Corn and classing up the place is the gorgeous Honey Bee.",32,15-07-2012,2015-10-01 00:00:00,"['Comedy', 'Action']",Animation,English,Adult Swim,8
The Big Bang Theory,"The Big Bang Theory is a comedy about brilliant physicists, Leonard and Sheldon, who are the kind of ""beautiful minds"" that understand how the universe works. But none of that genius helps them interact with people, especially women. All this begins to change when a free-spirited beauty named Penny moves in next door. Sheldon, Leonard's roommate, is quite content spending his nights playing Klingon Boggle with their socially dysfunctional friends, fellow Cal Tech scientists Wolowitz and Koothrappali. However, Leonard sees in Penny a whole new universe of possibilities... including love.",30,24-09-2007,16-05-2019,['Comedy'],Scripted,English,CBS,8
Kings,"Kings is a modern variation on the David-and-Goliath story, David Shepherd, a brave warrior in a city under siege, wins the gratitude of his king by rescuing the prince from enemy territory. His ensuing fame and rise through the ranks earns him the affection of the king's daughter, but David begins to realize it's getting harder and harder to tell his allies from his enemies. Although the series is loosely based on the Biblical story of King David, it is set in a kingdom that is culturally and technologically similar to the present-day United States.",60,15-03-2009,25-07-2009,"['Drama', 'Science-Fiction']",Scripted,English,NBC,8
The Prisoner,"A British secret agent retires from his position... and is whisked away to a mysterious Village where people who know too much but can't be killed are kept for the security of the State. Which State? No one knows. The unnamed agent, dubbed ""Number Six"" since everyone in the Village, is only known by a number, defies the Village authorities and alternates between trying to escape and undermining his captors.",50,1967-01-10 00:00:00,1968-04-02 00:00:00,"['Drama', 'Science-Fiction', 'Mystery']",Scripted,English,ITV1,8
The Walking Dead,"The Walking Dead tells the story of the months and years that follow after a zombie apocalypse. It follows a group of survivors, led by former police officer Rick Grimes, who travel in search of a safe and secure home. As the world overrun by the dead takes its toll on the survivors, their interpersonal conflicts present a greater danger to their continuing survival than the walkers that roam the country. Over time, the characters are changed by the constant exposure to death and some grow willing to do anything to survive.Based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard.",62,31-10-2010,20-11-2022,"['Drama', 'Action', 'Horror']",Scripted,English,,8
The Night Shift,"Welcome to The Night Shift, where the toughest and craziest cases always seem to come through the door. Every shift is a fight between the heroic efforts of saving lives and the hard truths of running an underfunded hospital.At San Antonio Memorial, the men and women who work the night shift are an irreverent and special breed, particularly adrenaline junkie TC Callahan. After three grueling tours of duty in Afghanistan, TC is about to learn that his toughest battles will be fought right here at home.",60,27-05-2014,31-08-2017,"['Drama', 'Action', 'Medical']",Scripted,English,NBC,8
North & South,"Set against the backdrop of Victorian England's industrial north, it follows the fortunes of Margaret Hale, one of 19th century literature's most original heroines.",60,14-11-2004,14-11-2004,"['Drama', 'Romance']",Scripted,English,BBC One,8
Jericho,"Jericho is a drama about what happens in the aftermath of a nuclear explosion in the once peaceful town of Jericho. Following the battle with New Bern, the citizens of Jericho begin reconstruction efforts to restore the town's power and communication with the outside world. As the country's new leaders, the Cheyenne government, attempt to establish their stronghold in the region, Jericho's citizens become suspicious of their new leaders and question why their community is so important to this newly formed government.",60,20-09-2006,25-03-2008,"['Drama', 'Action', 'Science-Fiction']",Scripted,English,CBS,8
NCIS,"NCIS (Naval Criminal Investigative Service) is more than just an action drama. With liberal doses of humor, it's a show that focuses on the sometimes complex and always amusing dynamics of a team forced to work together in high-stress situations. Leroy Jethro Gibbs, a former Marine gunnery sergeant, whose skills as an investigator are unmatched, leads this troupe of colorful personalities. Rounding out the team are Anthony DiNozzo, an ex-homicide detective whose instincts in the field are unparalleled and whose quick wit and humorous take on life make him a team favorite; the youthful and energetic forensic specialist Abby Sciuto, a talented scientist whose sharp mind matches her Goth style and eclectic tastes; Caitlin Todd, an ex-Secret Service Agent; and Timothy McGee, an MIT graduate whose brilliance with computers far overshadows his insecurities in the field; Assisting the team is medical examiner Dr. Donald ""Ducky"" Mallard, who knows it all because he's seen it all, and he's not afraid to let you know. From murder and espionage to terrorism and stolen submarines, these special agents travel the globe to investigate all crimes with Navy or Marine Corps ties.",60,23-09-2003,,"['Drama', 'Action', 'Crime']",Scripted,English,CBS,8
Major Crimes,"Captain Sharon Raydor faces the challenge of earning the trust and loyalty of her officers in Major Crimes, who are still in shock over their former Deputy Chief's exit, while trying to close the department's highest-profile cases. Raydor decides to house Rusty Beck, the key witness for a murder case, in her own home, paying for him to attend the Catholic high school her children attended.",60,13-08-2012,2018-09-01 00:00:00,"['Drama', 'Action', 'Crime']",Scripted,English,TNT,8
Terriers,"Terriers, from creator/executive producer Ted Griffin and executive producer Shawn Ryan is a comedic drama starring Donal Logue and Michael Raymond-James. It centers on ""Hank Dolworth"" , an ex-cop who partners with his best friend ""Britt Pollack"" to launch an unlicensed private investigation business. The duo, both struggling with maturity issues, solve crimes while avoiding danger and responsibility.",60,2010-08-09 00:00:00,2010-01-12 00:00:00,"['Drama', 'Comedy', 'Crime']",Scripted,English,FX,8
Primeval,"When rips in time called anomalies started opening across the UK, dangerous creatures from the past and future began appearing in the most unexpected places, endangering lives and placing the whole of humanity at risk.A crack team of specialists were appointed by the government to investigate and control ""creature incursions,"" creating the Anomaly Research Center (ARC), which was later privatized. Matt, Abby, Connor and Becker do the field work while Jess mans the ARC control station under the leadership of government official James Lester and the mysterious scientist, Philip Burton",60,2007-10-02 00:00:00,28-06-2011,"['Drama', 'Adventure', 'Science-Fiction']",Scripted,English,W,8
Forbrydelsen,"An intense crime drama which is set in Copenhagen and revolves around Detective Inspector Sarah Lund. Each series follows a murder case day-by-day. Each episode covers twenty-four hours of the investigation. The series is noted for its plot twists, season-long storylines, dark tone and for giving equal emphasis to the stories of the murdered victim's family and the effect in political circles alongside the police investigation.",60,2007-07-01 00:00:00,25-11-2012,"['Drama', 'Crime', 'Mystery']",Scripted,Danish,DR1,8
Derek,"An award-winning bittersweet comedy-drama about a group of outsiders living on society's margins, Derek centers around Derek Noakes (a tender, innocent man whose love for his job at a retirement home shines through. Derek cares deeply for the home's residents, because they are kind and funny and tell him stories of what life used to be like. Working alongside Derek is Dougie, his landlord, who is one of life's unlucky individuals; Kev, a lovable train wreck; and Hannah, a care worker in the home and Derek's best friend. She is smart, witty and hardworking, but unlucky in love, and, like Derek, always puts other people first.",30,2012-12-04 00:00:00,22-12-2014,"['Drama', 'Comedy']",Scripted,English,Channel 4,8
The Fall,"This gripping psychological thriller forensically examines the lives of two hunters; one a serial killer that stalks his victims at random, and the other a high-powered detective superintendent brought in to catch him.",62,13-05-2013,28-10-2016,"['Drama', 'Crime', 'Thriller']",Scripted,English,BBC Two,8
Peep Show,"Award-winning sitcom. David Mitchell and Robert Webb play two dysfunctional flatmates who reveal all their inner thoughts - whether dark, stupid or embarrassing. Or, occasionally, all three...",30,19-09-2003,16-12-2015,['Comedy'],Scripted,English,Channel 4,8
Happy Valley,"When a kidnap spirals out of control, Yorkshire police sergeant Catherine Cawood comes face to face with the man who destroyed her family.",61,29-04-2014,2023-05-02 00:00:00,"['Drama', 'Crime']",Scripted,English,BBC One,8
Shaun the Sheep,"Clever sheep Shaun, loyal dog Bitzer and the rest of the Mossy Bottom gang cook up oodles of fun and mischief on the farm.",8,2007-05-03 00:00:00,,"['Comedy', 'Children']",Animation,English,CBBC,8
Rescue Me,"Tommy Gavin is a lifesaver. Whether he is pulling survivors from fiery high-rise infernos or the twisted steel of a subway collision, Gavin takes great pride in leading the heroic but often overwhelmed firefighters of New York City's Truck Company 62. Gavin is also a man drifting between sorrow and anger over a recent separation from his wife and three kids, and recurring memories of comrades and other New-Yorkers who fell victim to the tragedy of 9/11.",60,21-07-2004,2011-07-09 00:00:00,"['Drama', 'Comedy']",Scripted,English,FX,8
Gangland Undercover,"The only man brave enough to sneak into three outlaw biker gangs and live to tell the tale, Charles Falco, author of ""Vagos, Mongols and Outlaws"", goes from convict to infiltrator as he secretly documents the Vagos' illegal activities and ultimately brings them to justice. With the real Charles Falco starting each episode in a silhouetted interview, his story is brought to life in this fact-based docudrama series that sees Falco work as an informant for the Feds on a covert mission inside the dangerous Vagos' world of violence, murder and drug trafficking. Having climbed the gang's ranks while facilitating 62 arrests, Charles Falco exposes how he crippled the criminal enterprise from the core of the biker underworld in this mind-blowing true story, Gangland Undercover.",60,24-02-2015,14-11-2016,"['Drama', 'Crime']",Scripted,English,History,8
Dune,"A three-part miniseries on politics, betrayal, lust, greed and the coming of a Messiah. Based on Frank Herbert's classic science fiction novel.",100,2000-03-12 00:00:00,2000-06-12 00:00:00,"['Drama', 'Science-Fiction']",Scripted,English,Syfy,8
Parenthood,"Parenthood is the critically acclaimed one-hour drama inspired by the box office hit of the same name. This reimagined and updated Universal Television/Imagine Entertainment production follows the trials and tribulations of the very large, colorful and imperfect Braverman family. Sarah Braverman is a single mother with two kids - the bright but rebellious Amber who is living on her own, and sullen and sensitive Drew who returns to Berkeley this year.",60,2010-02-03 00:00:00,29-01-2015,"['Drama', 'Comedy', 'Family']",Scripted,English,NBC,8
"I, Claudius","Acclaimed blackly comic historical drama series. Set amidst a web of power, corruption and lies, it chronicles the reigns of the Roman emperors - Augustus, Tiberius, Caligula and finally Claudius.",50,20-09-1976,1976-06-12 00:00:00,"['Drama', 'History']",Scripted,English,BBC Two,8
Married... with Children,"The less-than-lovable Bundys are a radical departure from the saccharine-sweet TV families popular since the days of Father Knows Best. With offbeat humor and unflinching honesty, Married... paints a more realistic picture of middle-class existence, warts and all. Al Bundy is a shoe salesman who is fond of frequently reliving his doubtful 15 seconds of fame on the football field. Al is terrified of the all-too-frequent amorous advances of his ditsy wife Peggy, who spends most of Al's wages at the salon and the mall. They have two teenage kids: stunning but superficial party animal Kelly and egocentric Bud. Married for 16 semi-blissful years, Peggy and Al have found that the secret to a happy marriage is to accept one another's idiosyncrasies.",30,1987-05-04 00:00:00,1997-09-06 00:00:00,"['Comedy', 'Family']",Scripted,English,FOX,8
Extras,"Sitcom set in the world of film and TV extras, from the Ricky Gervais and Stephen Merchant team that dreamt up The Office.",30,21-07-2005,19-10-2006,['Comedy'],Scripted,English,BBC Two,8
Batman Beyond,"Batman Beyond tells the story of Terry McGinnis was just an ordinary teenager...until his father was mysteriously murdered. Suspecting foul play at his father's company Wayne/Powers Corporation, Terry meets Bruce Wayne and learns a secret identity hidden for decades. Now too old to battle injustice, Wayne is a bitter shell of his former self and refuses to help. So Terry does what any brash young kid would do: steal the Batsuit and take matters into his own hands! Vowing to avenge his father's death, Terry dons the high-tech suit - tricked out with jetpacks for flying, a supersensitive microphone for eavesdropping and even camouflage capabilities - in search of his father's assassin.",30,1999-10-01 00:00:00,18-12-2001,"['Action', 'Adventure', 'Science-Fiction']",Animation,English,The WB,8
Prime Suspect,"This tense, uncompromising drama starring the Oscar®-winning actress Helen Mirren and from the distinguished dramatist and novelist Lynda La Plante, has been critically acclaimed on both sides of the Atlantic and has won a total of 14 international awards including BAFTAs for 'Drama Serial' and 'TV Actress'.",120,1991-07-04 00:00:00,22-10-2006,"['Drama', 'Crime', 'Mystery']",Scripted,English,ITV1,8
Outsourced,"When manager Todd Dempsy returns to work after management training, he learns that the Mid America Novelties call center has been outsourced to Mumbai, India. In order to keep his job, Todd is left no choice but to relocate to India. There he meets his eclectic group of employees, and soon realizes that teaching them to understand America will be the first of many hurdles that he needs to overcome. Todd also discovers other foreign transplants working in his office building, including American expatriate Charlie Davies who runs the All American Hunter call center, and Tonya a beautiful Australian who runs the call center for Koala Air.<br>",30,23-09-2010,2011-12-05 00:00:00,['Comedy'],Scripted,English,NBC,8
Marvel's Agents of S.H.I.E.L.D.,"Phil Coulson heads an elite team of fellow agents with the worldwide law-enforcement organization known as S.H.I.E.L.D. (Strategic Homeland Intervention Enforcement and Logistics Division), as they investigate strange occurrences around the globe. Its members -- each of whom brings a specialty to the group -- work with Coulson to protect those who cannot protect themselves from extraordinary and inconceivable threats.",60,24-09-2013,2020-12-08 00:00:00,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,ABC,8
Generation Kill,"Generation Kill follows the highly trained Marines of First Recon Battalion through the first 40 days of the Iraq war. The seven-part miniseries portrays the true story of the young Marines' experience at the tip of the spear of the American invasion, as they contend with equipment shortages, incompetent commanding officers, ever evolving Rules of Engagement and an unclear strategy. 'Generation Kill' is based on the award-winning book by Evan Wright, who was embedded with First Recon and originally reported the story in a series of articles for Rolling Stone. The series also benefited greatly from the presence of two of the real-life Marines it depicts - Sgt. Eric Kocher and Cpl. Jeffrey Carisalez - who served as consultants. A third First Recon Marine, Sgt. Rudy Reyes, appears in the miniseries, portraying himself.",60,13-07-2008,24-08-2008,"['Drama', 'War']",Scripted,English,HBO,8
Every Witch Way,"Every Witch Way follows 14-year-old Emma Alonso, as she moves to Miami and her ordinary life is turned upside-down when she discovers that she is a witch. Luckily Emma quickly finds a friend in tomboy Andi but when Emma develops a crush on the boy next door, Daniel, she also has to deal with his Queen Bee ex-girlfriend Maddie, a girl who has her own magical family secret.<br><br> Just as Emma's new found witch skills start to materialise, she also has to negotiate the halls of Iridium High. Maddie and her clique The Panthers run the school and the boys on the swim team, the Sharks, are always up to something to win or impress a girl. Plus there's no chance of getting away with any social blunders as Miss Information, the school gossip, documents everything on her blog read by the entire school.",30,2014-01-01 00:00:00,30-07-2015,"['Comedy', 'Children', 'Fantasy']",Scripted,English,Nickelodeon,8
Outlander,"Outlander follows the story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world where her life is threatened. When she is forced to marry Jamie, a chivalrous and romantic young Scottish warrior, a passionate affair is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives.The <i>Outlander</i> series, adapted from Diana Gabaldon's international best-selling books, spans the genres of romance, science fiction, history and adventure into one epic tale.",61,2014-09-08 00:00:00,,"['Adventure', 'Romance', 'Science-Fiction']",Scripted,English,STARZ,8
Houdini,"The event miniseries follows the epic tales of Harry Houdini as he emerges as America's first bonafide world-renowned superstar. From humble beginnings at circus sideshows to sold-out concert halls, Eastern European immigrant Erich Weiss rose to become a household name across the globe - Houdini. Academy Award(R) winner Adrien Brody stars as The Great Harry Houdini as he finds fame, engages in espionage, battles spiritualists, and encounters the greatest names of the era, from U.S. presidents to Arthur Conan Doyle and Rasputin. A thrilling ride throughout Harry's psyche, Houdini delves deep behind the curtain into his life through his stunts, his visions, and his mastery of illusion.",120,2014-01-09 00:00:00,2014-02-09 00:00:00,['Drama'],Scripted,English,History,8
Lie to Me,"This compelling new drama series stars Tim Roth as Dr. Cal Lightman, the world's leading deception expert who studies facial expressions and involuntary body language to discover not only if someone is lying, but why. Based on the real-life scientific discoveries of Dr. Paul Ekman, the series follows Lightman and his team of deception experts as they assist law enforcement and government agencies to expose the truth behind the lies.",60,21-01-2009,31-01-2011,"['Drama', 'Crime', 'Mystery']",Scripted,English,FOX,8
"Unsere Mütter, unsere Väter","The story of five German friends in the years from 1941 to 1945. Their friendship was meant to last their whole lives, but the war changed everything.",90,17-03-2013,20-03-2013,"['Drama', 'Action', 'War']",Scripted,German,ZDF,8
My Mad Fat Diary,"Drama looking at life from the perspective of funny, music-mad Rae.",60,14-01-2013,2015-06-07 00:00:00,"['Drama', 'Comedy', 'Romance']",Scripted,English,E4,8
Continuum,"Continuum centers on the conflict between a group of rebels from the year 2077 who time-travel to Vancouver, BC, in 2012, and a police officer who accidentally accompanies them. In spite of being many years early, the rebel group decides to continue its violent campaign to stop corporations of the future from replacing governments, while the police officer endeavours to stop them without revealing to anyone that she and the rebels are from the future.",60,27-05-2012,2015-09-10 00:00:00,"['Drama', 'Crime', 'Science-Fiction']",Scripted,English,Showcase,8
Star Wars: Clone Wars,The Clone Wars television series chronicles the events taking place between Star Wars Episode II: Attack of the Clones and Star Wars Episode III: Revenge of the Sith. The Clone Wars will ultimately lead to the downfall of the Jedi and the rise of the Galactic Empire.,5,2003-07-11 00:00:00,25-03-2005,"['Action', 'Family', 'Science-Fiction']",Animation,English,Cartoon Network,8
Lost Girl,"Lost Girl follows supernatural seductress Bo, a Succubus who feeds on the sexual energy of humans. Growing up with human parents, Bo had no reason to believe she was anything other than the girl next door — until she drained her boyfriend to death in their first sexual encounter. Now she has hit the road alone and afraid. <br /> She discovers she is one of the Fae, creatures of legend and folklore, who pass as humans while feeding off them secretly and in different ways, as they have for millennia. Relieved yet horrified to find out that she is not alone, Bo decides to take the middle path between the humans and the Fae while embarking on a personal mission to unlock the secrets of her origin.With the help of her human sidekick, Kenzi, and Dyson, a sexy police detective, Bo takes on a challenge every week helping a Fae or human client who comes to her to solve a mystery, or to right a wrong.",60,2010-12-09 00:00:00,25-10-2015,"['Drama', 'Fantasy', 'Horror']",Scripted,English,Showcase,8
The Lost Room,"A mysterious event at the Sunshine Motel caused ordinary things in Room 10 to transform into indestructible objects with extraordinary powers. Detective Joe Miller discovers the dangerous potential of these objects when his daughter becomes lost in the room. His only hope of saving her is to find The Key, but shadowy figures will stop at nothing to keep it - and the other objects - for themselves.",90,2006-11-12 00:00:00,13-12-2006,"['Drama', 'Science-Fiction', 'Thriller']",Scripted,English,Syfy,8
The Rockford Files,"Jim Rockford is an ex-con-turned-private-investigator who would rather fish than fight, but whose instinct on closed cases is more golden than his classic Pontiac Firebird. From his mobile home in Malibu, this wisecracking private eye takes on the cases of the lost and the dispossessed, chasing down seemingly long-dead clues in the sun-baked streets and seamy alleys of Los Angeles.",60,27-03-1974,1980-10-01 00:00:00,"['Drama', 'Action', 'Crime']",Scripted,English,NBC,8
Columbo,"This is the detective series that inspired them all. Legendary actor Peter Falk is back in his 4-time Emmy® Award winning role, as the ruffled, cigar-chomping, trenchcoat-wearing police lieutenant who is asking all the right questions.",108,20-02-1968,30-01-2003,"['Drama', 'Crime', 'Mystery']",Scripted,English,ABC,8
30 Rock,"Multiple award-winning comedy 30 Rock is told through the comedic voice of Emmy and two-time Golden Globe winner Tina Fey as variety show producer Liz Lemon. The series also features two-time Emmy and three-time Golden Globe winner Alec Baldwin as top network executive Jack Donaghy and Emmy nominee Tracy Morgan as Tracy Jordan, the unpredictable star of Lemon's hit variety show, TGS with Tracy Jordan, Lemon constantly has her hands full, juggling corporate interference from Donaghy and off-the-handle star antics from Jordan, all while attempting to salvage her own personal life.",30,2006-11-10 00:00:00,16-07-2020,['Comedy'],Scripted,English,NBC,8
Mythbusters,"Hosted by Jamie Hyneman and Adam Savage, with Tory Belleci, Kari Byron and Grant Imahara, the Mythbusters mix scientific method with gleeful curiosity and plain old-fashioned ingenuity to create their own signature style of explosive experimentation. The team's combined backgrounds in animatronics, robotics, model building and prototyping arm them with the ability to create anything they need to test a myth.",60,23-01-2003,14-02-2018,[],Documentary,English,Science,8
CSI: Crime Scene Investigation,"CSI: Crime Scene Investigation is a drama about a team of forensic investigators trained to solve criminal cases by scouring the crime scene, collecting irrefutable evidence and finding the missing pieces that solve the mystery.",60,2000-06-10 00:00:00,27-09-2015,"['Drama', 'Action', 'Crime']",Scripted,English,CBS,8
Life Below Zero°,"Life Below Zero° follows seven people as they battle for the most basic necessities in the state with the lowest population density in the United States. Living at the ends of the world's loneliest roads and subsisting off the rugged Alaskan bush, they battle whiteout snow storms, man-eating carnivores, questionable frozen terrain, and limited resources through a long and bitter winter. Some of them are lone wolves; others have their families beside them. All must overcome despairing odds to brave the wild and survive through to the spring. Only the mentally fit will be able to endure the extreme test of isolation and endless work required to survive the many months of winter in the Alaska bush.",60,19-05-2013,,['Nature'],Documentary,English,National Geographic,8
The Musketeers,"A thrilling world of action, adventure and romance inspired by Dumas' legendary characters.On the streets of 17th century Paris, law and order is more a fledgling idea than reality, and the Musketeers, Athos, Aramis and Porthos, are far more than merely royal bodyguards for King Louis XIII; they are inseparable, loyal unto death and committed to upholding justice. Together, this crack team of highly trained soldiers fight for honour, for valour, for love, and just for the pure thrill of it.",60,19-01-2014,2016-01-08 00:00:00,"['Drama', 'Action', 'Adventure']",Scripted,English,BBC One,8
Late Night with Conan O'Brien,"""Keep Cool My Babies!"" Smart-alecky, ribald and whimsical, Late Night with Conan O'Brien rose to become a critical darling and dorm favorite after a rocky start in 1993. There are many recurring characters (including Triumph the Insult Comic Dog, Vomiting Kermit, Eyeballs O'Shaughnessy, NASCAR-driving gun-toting Jesus, Masturbating Bear) and comedy bits (including New State Quarters, What in the World, Celebrity Survey, Actual Items, Conan Hates My Homeland) that entertain us night after night. New episodes air Tuesday through Friday, with reruns on Mondays and occasional breaks where reruns air all week long. It airs weekdays at 12:37 a.m. ET/PT. (Simulcast in HDTV) Next-day encores air on CNBC at 7pm ET.",60,13-09-1993,20-02-2009,['Comedy'],Talk Show,English,NBC,8
Power,"Power tells the story of James ""Ghost"" St. Patrick, a wealthy New York City nightclub owner who caters to the city's elite. He wants to build an empire, turn the club into a Fortune 500 business, but there's just one problem: Ghost is living a double life. When he is not in the club, he is the kingpin of the most lucrative drug network in New York for a very high-level clientele. His marriage, family and business all become unknowingly threatened as he is tempted to leave his criminal life behind and become the rags-to-riches businessman he wants to be most of all.",60,2014-07-06 00:00:00,2020-09-02 00:00:00,"['Drama', 'Crime']",Scripted,English,STARZ,8
The Daily Show with Jon Stewart,"One anchor, several correspondents, zero credibility.If you're tired of the stodginess of the evening newscasts and you can't bear to sit through the spinmeisters and shills on the 24-hour cable news network, don't miss The Daily Show with Jon Stewart, the nightly half-hour series unburdened by objectivity, journalistic integrity or even accuracy.",30,1999-11-01 00:00:00,2015-06-08 00:00:00,['Comedy'],Talk Show,English,Comedy Central,8
Spooks,"Tense drama series about the different challenges faced by the British Security Service as they work against the clock to safeguard the nation.A team of agents in the British security intelligence service work to protect the U.K. from terrorists and other threats to national security. A repackaged version of the BBC series ""Spooks,"" ""MI-5"" follows a counterterrorism unit based in the highly secure suite of offices called The Grid, where Harry Pearce oversees the team and deals with the often dirty politics of the spy game.",60,13-05-2002,23-10-2011,"['Drama', 'Thriller', 'Espionage']",Scripted,English,BBC One,8
8 Out of 10 Cats Does Countdown,Jimmy Carr hosts as Sean Lock and Jon Richardson play the words and numbers game.,60,2012-02-01 00:00:00,,['Comedy'],Game Show,English,Channel 4,8
Haven,"When FBI Special Agent Audrey Parker is dispatched to the small town of Haven, Maine, on a routine case, she soon finds herself increasingly involved in the return of ""The Troubles"", a plague of supernatural afflictions that have occurred in the town at least twice before. With an openness to the possibility of the paranormal, she also finds a more personal link in Haven that may lead her to the mother she has never known.She and her partner, police detective Nathan Wuornos, find themselves frequently facing problems caused by both the effects of the Troubles, as well as the activities of town folk who take more drastic measures against those who are Troubled.",60,2010-09-07 00:00:00,17-12-2015,"['Drama', 'Crime', 'Supernatural']",Scripted,English,Syfy,8
Coupling,Britcom about a group of six friends - three men and three women - and the ups and downs they encounter playing the 21st century dating game.,30,2000-12-05 00:00:00,14-06-2004,"['Comedy', 'Romance']",Scripted,English,BBC Three,8
Tales from the Crypt,"Cadaverous scream legend/all-around punster the Crypt Keeper hosts these forays of fright and fun based on classic E.C. Comics tales from back in the day – and drawing on the talents of top filmmakers Richard Donner, Walter Hill, Joel Silver, Robert Zemeckis and others. So belly up to the bar and name your poison. Is it a deranged Santa on a personal slay ride? A man surgically implanted with as many lives (and deaths) as a cat? Honeymooners who each want the other to fulfill the 'til-death vow pronto? These and more terror-rific tales await. Ghoul love 'em!",30,1989-10-06 00:00:00,19-07-1996,"['Comedy', 'Fantasy', 'Horror']",Scripted,English,HBO,8
Emma,"Nothing delights Emma more than meddling in the love lives of others. But when she takes protege Harriet Smith under her wing, her plans can only end in disaster...",60,2009-04-10 00:00:00,25-10-2009,"['Drama', 'Comedy', 'Romance']",Scripted,English,BBC One,8
My So-Called Life,"An authentic portrayal of teenage and parental angst, My So-Called Life expressed the challenges of growing up and growing older.",60,25-08-1994,26-01-1995,['Drama'],Scripted,English,ABC,8
Alaska: The Last Frontier,"Alaska: The Last Frontier follows the Kilcher family and their simple, off-the-grid lifestyle.The show documents the extended Kilcher family, descendants of a Swiss immigrant Alaska pioneer, at their homestead 11 miles outside of Homer. By living without plumbing or modern heating, the clan must subsist by hunting and preparing for the long winters. The Kilcher family are relatives of the singer Jewel.",67,29-12-2011,13-11-2022,['Adventure'],Reality,English,Discovery,8
Chicago P.D.,"District 21 of the Chicago Police Department is made up of two distinctly different groups. There are the uniformed cops who patrol the beat and go head to head with the city's street crimes. And there's the Intelligence Unit, the team that combats the city's major offenses - organized crime, drug trafficking, high profile murders and beyond. These are their stories.",60,2014-08-01 00:00:00,,"['Drama', 'Crime']",Scripted,English,NBC,8
In Search of.....,"Leonard Nimoy, hosts and narrates this documentary series that takes you to the world of Unsolved Mysteries and those strange and unusual things in the world that defy explanation and often understanding. The world is filled with unexplained mysteries, paranormal phenomena, strange creatures, and other things that go bump in the night. The topics are entertaining and engrossing. Lost civilizations, extraterrestrials, myths and monsters, missing persons, magic and witchcraft, unexplained phenomena. In Search Of cameras travel the world, seeking out these great mysteries. This program was the result the work of scientists, researchers and a group of highly-skilled technicians and results in a series of programs that are varied and each is worth viewing..",30,17-04-1977,22-11-2002,"['Mystery', 'History', 'Supernatural']",Documentary,English,Syndication,8
Spaced,"Surreal cult sitcom starring Simon Pegg and Jessica Stevenson, with more pop culture references than you can shake a light sabre at.",30,24-09-1999,13-04-2001,['Comedy'],Scripted,English,Channel 4,8
Skins,"Irreverent comedy drama from the makers of <i>Shameless</i>, which follows the messy lives, loves, delirious highs and inevitable lows of a group of raucous teenage friends in Bristol.",60,25-01-2007,2013-05-08 00:00:00,"['Drama', 'Comedy']",Scripted,English,E4,8
Brideshead Revisited,"Based on the novel by Evelyn Waugh, two years in the making, and the equivalent of seven feature films back-to-back, this epic drama tells a story of romantic yearning and loss in the glittering but fading world of the British aristocracy between the wars.",60,1981-12-10 00:00:00,21-12-1981,['Drama'],Scripted,English,ITV1,8
Monk,"An ex-cop suffering from obsessive-compulsive disorder solves crimes with various (and usually exasperated) sidekicks. The 'defective detective' may have an abundance of phobias (heights, crowds, and even milk), but also razor-sharp deductive skills, which he uses to help the San Francisco police with especially baffling cases.",60,2002-12-07 00:00:00,2023-08-12 00:00:00,"['Drama', 'Comedy', 'Crime']",Scripted,English,USA Network,8
John Adams,"This seven-part epic miniseries event explores American history through one of its greatest founding fathers, a fiercely independent spirit whose unwavering vision steered America through a tumultuous period.",70,16-03-2008,20-04-2008,"['Drama', 'History']",Scripted,English,HBO,8
Frasier,"Frasier is a half-hour comedy series set in Seattle, which chronicles the lives of an eloquently pompous radio show host Dr. Frasier Crane, his brazen radio producer Roz and his competitive, high-brow brother Niles.",30,16-09-1993,13-05-2004,['Comedy'],Scripted,English,NBC,8
Face Off,"Face Off is a competition/elimination series exploring the world of special-effects make-up artists and the unlimited imagination that allows them to create amazing works of living art. Each week the artists are tasked with using their considerable talent to create original movie-worthy characters such as aliens, human-animal hybrids, horror villains, cyborgs and others. Challenges incorporate a wide range of skill sets including design, sculpting, molding and application. It all builds to incredible reveals of the competitors' finished work and the drama of one artist being sent home by the expert panel of judges.",60,26-01-2011,2018-07-08 00:00:00,[],Reality,English,Syfy,8
